code	hex	rgb	count	pct
C00	#6f4b48	111,75,72	128	28.89
C01	#dad8d6	218,216,214	17	3.84
C02	#aa9892	170,152,146	33	7.45
C03	#89625d	137,98,93	31	7.00
C04	#2d2427	45,36,39	18	4.06
C05	#c5bebc	197,190,188	19	4.29
C06	#301818	48,24,24	41	9.26
C07	#782725	120,39,37	28	6.32
C08	#531a18	83,26,24	24	5.42
C09	#4d312d	77,49,45	33	7.45
C10	#220f10	34,15,16	38	8.58
C11	#a8342f	168,52,47	27	6.09
C12	#d6ebe6	214,235,230	6	1.35
